,Cust_Id,NPS_Score,NPS_Category,Timely_delivery,No_of_calls_in_an_Order,Loyalty_Years,C_Marital_Status,Tier_City,Mode_of_Payment,No_of_Items_in_Order,Gender,Order_Mode,Score_on_Food_Quality,Score_on_Order_Logistics,Menu_Presentation_Score,Score_on_Recommendations,Score_on_Delivery_Person_Friendliness,lab
793,794,1,Detractor,N,4,6,Not Married,Tier2,e-Wallet,1,F,call,2,3,10,3,5,0
794,795,9,Promoter,Y,4,2,Married,Tier3,Cash,6,M,call,8,4,8,6,3,0
797,798,7,Passives,N,4,1,Not Married,Tier3,e-Wallet,2,F,call,5,4,4,2,5,0
808,809,1,Detractor,N,4,2,Married,Tier2,Card,6,M,call,8,2,3,7,6,0
809,810,7,Passives,N,4,1,Not Married,Tier3,e-Wallet,2,F,call,4,4,4,10,7,0
813,814,7,Passives,N,4,4,Not Married,Tier1,e-Wallet,6,F,e-comm,7,3,6,4,2,0
814,815,2,Detractor,N,4,7,Married,Tier2,Cash,5,M,call,6,5,2,4,6,0
817,818,1,Detractor,N,4,9,Not Married,Tier2,e-Wallet,4,F,call,9,4,9,9,5,0
818,819,9,Promoter,N,4,6,Married,Tier3,Cash,1,M,call,5,1,4,6,6,0
820,821,6,Detractor,N,4,6,Married,Tier2,Card,6,M,call,5,3,6,8,6,0
822,823,5,Detractor,N,4,2,Married,Tier1,Cash,5,M,call,5,1,3,5,2,0
830,831,9,Promoter,N,4,6,Married,Tier3,Cash,3,M,call,4,3,1,8,3,0
834,835,1,Detractor,N,4,4,Married,Tier1,Cash,2,M,call,2,5,5,8,3,0
835,836,0,Detractor,N,4,10,Not Married,Tier2,Ziggy Credit,4,F,call,4,4,3,4,3,0
838,839,7,Passives,Y,4,5,Married,Tier2,Cash,1,M,m-comm,2,3,4,2,4,0
840,841,7,Passives,Y,4,4,Married,Tier1,Card,2,M,e-comm,6,1,9,2,6,0
841,842,3,Detractor,N,4,10,Not Married,Tier2,e-Wallet,1,F,call,9,5,7,10,1,0
849,850,2,Detractor,N,4,7,Not Married,Tier1,e-Wallet,1,F,call,8,5,7,6,6,0
853,854,5,Detractor,N,4,9,Not Married,Tier2,e-Wallet,3,F,call,6,5,8,4,5,0
856,857,3,Detractor,N,4,9,Married,Tier2,Card,5,M,call,1,4,1,3,5,0
861,862,3,Detractor,N,4,4,Not Married,Tier1,e-Wallet,3,F,call,6,4,10,3,4,0
862,863,7,Passives,Y,4,5,Married,Tier2,Cash,1,M,m-comm,2,4,7,6,3,0
864,865,5,Detractor,N,4,10,Married,Tier1,Card,6,M,call,5,2,2,7,3,0
867,868,3,Detractor,N,4,3,Not Married,Tier1,Ziggy Credit,4,F,call,2,5,5,10,6,0
869,870,7,Passives,N,4,2,Not Married,Tier3,e-Wallet,7,F,call,8,1,1,1,6,0
870,871,1,Detractor,N,4,3,Married,Tier1,Cash,7,M,call,5,3,2,3,6,0
871,872,5,Detractor,N,4,10,Not Married,Tier2,Ziggy Credit,5,F,call,8,3,3,9,5,0
872,873,7,Passives,N,4,4,Married,Tier3,Card,4,M,call,5,5,9,10,6,0
874,875,0,Detractor,N,4,2,Married,Tier2,Cash,3,M,call,5,5,2,1,1,0
876,877,6,Detractor,N,4,10,Married,Tier1,Card,2,M,call,8,2,4,7,2,0
877,878,0,Detractor,N,4,8,Not Married,Tier2,e-Wallet,2,F,call,6,4,5,2,6,0
879,880,7,Passives,N,4,6,Not Married,Tier1,Ziggy Credit,7,F,e-comm,8,5,8,10,3,0
881,882,7,Passives,N,4,3,Not Married,Tier3,e-Wallet,7,F,call,4,3,3,9,2,0
882,883,6,Detractor,N,4,7,Married,Tier1,Cash,6,M,call,4,2,4,5,3,0
884,885,7,Passives,N,4,6,Married,Tier3,Card,3,M,call,8,1,3,10,3,0
885,886,1,Detractor,N,4,6,Not Married,Tier1,e-Wallet,3,F,call,10,4,2,3,2,0
886,887,7,Passives,Y,4,2,Married,Tier2,Cash,3,M,m-comm,9,1,4,1,3,0
891,892,6,Detractor,N,4,4,Not Married,Tier1,Ziggy Credit,6,F,call,6,3,9,7,4,0
893,894,7,Passives,N,4,1,Not Married,Tier3,e-Wallet,2,F,call,5,3,1,2,2,0
896,897,8,Passives,Y,4,6,Married,Tier3,Card,1,M,call,8,1,8,4,1,0
901,902,3,Detractor,N,4,9,Not Married,Tier2,e-Wallet,2,F,call,1,4,2,1,6,0
902,903,9,Promoter,N,4,7,Married,Tier3,Cash,4,M,call,4,1,1,4,2,0
904,905,0,Detractor,N,4,3,Married,Tier2,Card,4,M,call,10,1,6,7,6,0
908,909,7,Passives,N,4,8,Married,Tier3,Card,5,M,call,8,5,2,8,3,0
919,920,7,Passives,N,4,7,Not Married,Tier2,Ziggy Credit,5,F,m-comm,7,5,10,9,1,0
923,924,7,Passives,N,4,7,Not Married,Tier3,Ziggy Credit,7,F,call,7,3,10,1,3,0
924,925,2,Detractor,N,4,1,Married,Tier1,Card,2,M,call,9,3,3,4,2,0
927,928,1,Detractor,N,4,2,Not Married,Tier1,Ziggy Credit,2,F,call,5,4,4,4,5,0
930,931,7,Passives,Y,4,10,Married,Tier1,Cash,2,M,e-comm,10,1,6,10,7,0
933,934,1,Detractor,N,4,5,Not Married,Tier1,e-Wallet,5,F,call,9,4,9,1,1,0
934,935,6,Detractor,N,4,5,Married,Tier2,Cash,4,M,call,1,2,9,7,3,0
942,943,5,Detractor,N,4,4,Married,Tier1,Cash,5,M,call,9,5,5,7,4,0
945,946,7,Passives,N,4,3,Not Married,Tier1,e-Wallet,2,F,e-comm,8,2,8,1,4,0
953,954,7,Passives,N,4,9,Not Married,Tier3,e-Wallet,2,F,call,4,2,8,10,8,0
955,956,2,Detractor,N,4,10,Not Married,Tier2,Ziggy Credit,7,F,call,4,5,4,9,2,0
962,963,9,Promoter,N,4,5,Married,Tier3,Cash,3,M,call,5,1,2,7,6,0
963,964,6,Detractor,N,4,8,Not Married,Tier1,Ziggy Credit,1,F,call,1,3,7,5,6,0
965,966,7,Passives,N,4,9,Not Married,Tier3,e-Wallet,1,F,call,7,4,9,10,2,0
969,970,6,Detractor,N,4,8,Not Married,Tier1,e-Wallet,2,F,call,9,3,10,7,2,0
975,976,5,Detractor,N,4,7,Not Married,Tier1,Ziggy Credit,5,F,call,1,1,2,5,5,0
976,977,5,Detractor,N,4,9,Married,Tier2,Card,7,M,call,2,2,3,5,4,0
977,978,7,Passives,N,4,6,Not Married,Tier3,e-Wallet,2,F,call,8,1,9,3,3,0
979,980,0,Detractor,N,4,1,Not Married,Tier2,Ziggy Credit,7,F,call,4,2,9,4,2,0
982,983,4,Detractor,N,4,2,Married,Tier2,Cash,7,M,call,5,2,8,8,6,0
988,989,5,Detractor,N,4,2,Married,Tier2,Card,3,M,call,7,5,10,9,6,0
990,991,0,Detractor,N,4,6,Married,Tier1,Cash,4,M,call,2,2,8,9,1,0
994,995,2,Detractor,N,4,10,Married,Tier2,Cash,4,M,call,6,1,7,10,5,0
995,996,7,Passives,N,4,1,Not Married,Tier3,Ziggy Credit,2,F,call,7,1,5,9,9,0
1002,1003,6,Detractor,N,4,8,Married,Tier1,Cash,2,M,call,8,3,1,6,4,0
1004,1005,7,Passives,N,4,1,Married,Tier3,Card,4,M,call,4,1,7,8,6,0
1007,1008,7,Passives,N,4,9,Not Married,Tier3,Ziggy Credit,1,F,call,8,1,9,10,6,0
1008,1009,1,Detractor,N,4,8,Married,Tier1,Card,5,M,call,2,4,3,1,3,0
1019,1020,7,Passives,N,4,10,Not Married,Tier3,Ziggy Credit,7,F,call,6,2,7,5,5,0
1021,1022,4,Detractor,N,4,5,Not Married,Tier2,e-Wallet,5,F,call,8,5,2,10,6,0
1025,1026,7,Passives,N,4,5,Not Married,Tier3,e-Wallet,4,F,call,8,1,3,8,6,0
1027,1028,5,Detractor,N,4,4,Not Married,Tier2,Ziggy Credit,3,F,call,10,2,7,10,6,0
1029,1030,4,Detractor,N,4,5,Not Married,Tier1,e-Wallet,1,F,call,6,3,8,8,6,0
1030,1031,1,Detractor,N,4,3,Married,Tier2,Cash,5,M,call,1,4,8,3,4,0
1032,1033,5,Detractor,N,4,9,Married,Tier1,Card,1,M,call,5,2,9,10,4,0
1036,1037,3,Detractor,N,4,2,Married,Tier2,Card,4,M,call,1,1,5,6,2,0
1038,1039,2,Detractor,N,4,8,Married,Tier1,Cash,6,M,call,8,4,2,6,1,0
1044,1045,8,Passives,Y,4,2,Married,Tier1,Card,3,M,e-comm,9,4,1,2,4,0
1046,1047,7,Passives,N,4,7,Married,Tier3,Cash,6,M,call,4,2,8,4,3,0
1050,1051,4,Detractor,N,4,9,Married,Tier1,Cash,5,M,call,5,4,10,8,4,0
1054,1055,1,Detractor,N,4,4,Married,Tier2,Cash,4,M,call,5,4,4,4,1,0
1055,1056,7,Passives,N,4,5,Not Married,Tier3,Ziggy Credit,6,F,call,7,1,4,3,5,0
1059,1060,0,Detractor,N,4,2,Not Married,Tier1,Ziggy Credit,4,F,call,6,3,3,1,4,0
1069,1070,0,Detractor,N,4,10,Not Married,Tier2,e-Wallet,4,F,call,5,2,10,9,4,0
1071,1072,5,Detractor,N,4,8,Not Married,Tier1,Ziggy Credit,5,F,call,9,3,3,10,5,0
1073,1074,7,Passives,N,4,3,Not Married,Tier3,e-Wallet,5,F,call,6,5,8,4,4,0
1074,1075,6,Detractor,N,4,2,Married,Tier1,Cash,6,M,call,4,2,10,10,4,0
1078,1079,3,Detractor,N,4,7,Married,Tier2,Cash,2,M,call,4,1,7,7,2,0
1080,1081,6,Detractor,N,4,6,Married,Tier1,Card,6,M,call,6,4,5,7,6,0
1083,1084,1,Detractor,N,4,6,Not Married,Tier1,Ziggy Credit,6,F,call,5,5,1,7,5,0
1084,1085,0,Detractor,N,4,2,Married,Tier2,Card,5,M,call,7,2,1,10,6,0
1089,1090,4,Detractor,N,4,8,Not Married,Tier1,e-Wallet,7,F,call,8,1,2,5,2,0
1092,1093,0,Detractor,N,4,3,Married,Tier1,Card,4,M,call,8,1,6,5,4,0
1096,1097,4,Detractor,N,4,10,Married,Tier2,Card,7,M,call,8,2,1,6,3,0
1098,1099,6,Detractor,N,4,9,Married,Tier1,Cash,7,M,call,7,2,4,4,4,0
1100,1101,7,Passives,N,4,1,Married,Tier3,Card,2,M,call,7,5,2,2,5,0
1104,1105,1,Detractor,N,4,6,Married,Tier1,Card,4,M,call,2,2,4,1,3,0
1108,1109,6,Detractor,N,4,6,Married,Tier2,Card,3,M,call,2,4,2,3,4,0
1120,1121,0,Detractor,N,4,7,Married,Tier2,Card,2,M,call,8,1,7,6,5,0
1125,1126,6,Detractor,N,4,9,Not Married,Tier1,e-Wallet,6,F,call,7,1,9,9,6,0
1134,1135,3,Detractor,N,4,4,Married,Tier1,Cash,2,M,call,3,4,5,8,4,0
1137,1138,1,Detractor,N,4,9,Not Married,Tier1,e-Wallet,4,F,call,5,4,1,10,4,0
1144,1145,5,Detractor,N,4,6,Married,Tier2,Card,1,M,call,5,3,9,7,6,0
1146,1147,1,Detractor,N,4,1,Married,Tier1,Cash,2,M,call,1,1,6,10,6,0
1147,1148,5,Detractor,N,4,9,Not Married,Tier2,Ziggy Credit,3,F,call,10,3,8,5,4,0
1149,1150,1,Detractor,N,4,6,Not Married,Tier1,e-Wallet,6,F,call,8,3,10,3,2,0
1150,1151,5,Detractor,N,4,2,Married,Tier2,Cash,6,M,call,2,1,2,1,2,0
1154,1155,7,Passives,N,4,4,Married,Tier3,Cash,6,M,call,6,1,9,5,7,0
1156,1157,4,Detractor,N,4,7,Married,Tier2,Card,5,M,call,4,5,4,4,5,0
1159,1160,5,Detractor,N,4,2,Not Married,Tier2,Ziggy Credit,6,F,call,5,4,10,1,4,0
1161,1162,2,Detractor,N,4,8,Not Married,Tier1,e-Wallet,1,F,call,10,5,9,2,6,0
1162,1163,6,Detractor,N,4,5,Married,Tier2,Cash,1,M,call,8,1,9,7,1,0
1163,1164,7,Passives,N,4,9,Not Married,Tier3,Ziggy Credit,4,F,call,7,2,5,5,2,0
1165,1166,7,Passives,N,4,1,Not Married,Tier2,e-Wallet,4,F,m-comm,8,3,10,1,4,0
1166,1167,7,Passives,N,4,1,Married,Tier3,Cash,3,M,call,7,3,10,2,4,0
1169,1170,7,Passives,N,4,7,Not Married,Tier3,e-Wallet,2,F,call,4,3,10,2,4,0
1173,1174,3,Detractor,N,4,9,Not Married,Tier1,e-Wallet,7,F,call,8,2,10,6,6,0
1177,1178,4,Detractor,N,4,5,Not Married,Tier2,e-Wallet,5,F,call,9,2,1,9,2,0
1180,1181,4,Detractor,N,4,1,Married,Tier2,Card,6,M,call,7,4,3,10,4,0
1182,1183,1,Detractor,N,4,2,Married,Tier1,Cash,1,M,call,6,5,5,8,5,0
1185,1186,5,Detractor,N,4,4,Not Married,Tier1,e-Wallet,6,F,call,2,5,1,10,2,0
1188,1189,2,Detractor,N,4,3,Married,Tier1,Card,4,M,call,9,5,4,6,6,0
1189,1190,7,Passives,N,4,6,Not Married,Tier2,e-Wallet,7,F,m-comm,5,2,3,2,4,0
1192,1193,6,Detractor,N,4,1,Married,Tier2,Card,4,M,call,3,4,9,6,6,0
1201,1202,7,Passives,N,4,10,Not Married,Tier2,e-Wallet,3,F,m-comm,4,2,6,7,6,0
1204,1205,4,Detractor,N,4,7,Married,Tier2,Card,4,M,call,4,1,9,4,2,0
1205,1206,7,Passives,N,4,5,Not Married,Tier3,e-Wallet,2,F,call,4,1,8,4,5,0
1207,1208,4,Detractor,N,4,8,Not Married,Tier2,Ziggy Credit,7,F,call,6,3,8,4,1,0
1211,1212,7,Passives,N,4,1,Not Married,Tier3,Ziggy Credit,7,F,call,5,2,8,8,6,0
1214,1215,7,Passives,N,4,1,Married,Tier3,Cash,3,M,call,4,5,4,5,3,0
1215,1216,1,Detractor,N,4,10,Not Married,Tier1,Ziggy Credit,3,F,call,7,1,9,9,5,0
1221,1222,8,Passives,N,4,8,Not Married,Tier1,e-Wallet,3,F,e-comm,7,1,5,4,4,0
1227,1228,6,Detractor,N,4,2,Not Married,Tier1,Ziggy Credit,6,F,call,9,1,8,1,5,0
1228,1229,0,Detractor,N,4,8,Married,Tier2,Card,2,M,call,4,1,7,3,6,0
1230,1231,7,Passives,Y,4,2,Married,Tier1,Cash,5,M,e-comm,10,3,5,8,6,0
1233,1234,2,Detractor,N,4,2,Not Married,Tier1,e-Wallet,4,F,call,10,3,7,7,6,0
1235,1236,7,Passives,N,4,2,Not Married,Tier3,Ziggy Credit,6,F,call,8,2,4,4,3,0
1240,1241,6,Detractor,N,4,10,Married,Tier2,Card,1,M,call,10,1,5,6,1,0
1242,1243,6,Detractor,N,4,6,Married,Tier1,Cash,4,M,call,10,2,5,2,6,0
1244,1245,7,Passives,N,4,7,Married,Tier3,Card,6,M,call,6,2,10,7,4,0
1246,1247,8,Passives,Y,4,9,Married,Tier2,Cash,6,M,m-comm,8,3,5,5,1,0
1248,1249,1,Detractor,N,4,6,Married,Tier1,Card,4,M,call,8,3,10,5,5,0
1249,1250,5,Detractor,N,4,5,Not Married,Tier2,e-Wallet,4,F,call,5,3,7,5,1,0
1255,1256,5,Detractor,N,4,4,Not Married,Tier2,Ziggy Credit,1,F,call,10,4,1,4,1,0
1260,1261,5,Detractor,N,4,5,Married,Tier1,Card,5,M,call,4,3,2,3,5,0
1267,1268,1,Detractor,N,4,5,Not Married,Tier2,Ziggy Credit,4,F,call,3,1,3,7,2,0
1269,1270,7,Passives,N,4,8,Not Married,Tier1,e-Wallet,2,F,e-comm,3,3,4,8,4,0
1270,1271,1,Detractor,N,4,1,Married,Tier2,Cash,2,M,call,3,4,7,3,1,0
1272,1273,5,Detractor,N,4,4,Married,Tier1,Card,4,M,call,4,4,7,8,1,0
1273,1274,6,Detractor,N,4,4,Not Married,Tier2,e-Wallet,6,F,call,8,1,3,6,1,0
1275,1276,1,Detractor,N,4,1,Not Married,Tier1,Ziggy Credit,3,F,call,8,1,4,2,5,0
1276,1277,2,Detractor,N,4,7,Married,Tier2,Card,2,M,call,8,3,5,3,5,0
1278,1279,3,Detractor,N,4,8,Married,Tier1,Cash,2,M,call,1,4,2,1,1,0
1279,1280,3,Detractor,N,4,8,Not Married,Tier2,Ziggy Credit,1,F,call,4,3,5,8,2,0
1284,1285,3,Detractor,N,4,10,Married,Tier1,Card,4,M,call,8,5,9,5,6,0
1288,1289,7,Passives,Y,4,7,Married,Tier2,Card,3,M,m-comm,5,3,4,8,3,0
1294,1295,4,Detractor,N,4,4,Married,Tier2,Cash,2,M,call,9,1,2,6,4,0
1300,1301,4,Detractor,N,4,9,Married,Tier2,Card,5,M,call,3,5,4,8,6,0
1302,1303,1,Detractor,N,4,9,Married,Tier1,Cash,7,M,call,4,1,7,7,3,0
1304,1305,7,Passives,N,4,10,Married,Tier3,Card,1,M,call,6,4,8,8,7,0
1306,1307,1,Detractor,N,4,5,Married,Tier2,Cash,3,M,call,5,3,6,5,5,0
1308,1309,4,Detractor,N,4,3,Married,Tier1,Card,5,M,call,3,5,6,9,3,0
1310,1311,7,Passives,N,4,5,Married,Tier3,Cash,3,M,call,4,2,7,1,3,0
1313,1314,7,Passives,N,4,4,Not Married,Tier3,e-Wallet,4,F,call,4,2,10,8,5,0
1314,1315,7,Passives,Y,4,1,Married,Tier1,Cash,1,M,e-comm,4,4,6,9,1,0
1317,1318,2,Detractor,N,4,10,Not Married,Tier1,e-Wallet,6,F,call,8,4,9,2,1,0
1318,1319,4,Detractor,N,4,7,Married,Tier2,Cash,5,M,call,6,4,10,10,3,0
1320,1321,1,Detractor,N,4,1,Married,Tier1,Card,3,M,call,9,4,10,4,2,0
1325,1326,7,Passives,N,4,6,Not Married,Tier3,e-Wallet,2,F,call,7,1,6,7,8,0
1328,1329,7,Passives,N,4,5,Married,Tier3,Card,2,M,call,7,2,10,8,4,0
1333,1334,6,Detractor,N,4,7,Not Married,Tier2,e-Wallet,4,F,call,7,2,1,5,4,0
1334,1335,7,Passives,N,4,4,Married,Tier3,Cash,2,M,call,6,3,5,6,3,0
1336,1337,6,Detractor,N,4,10,Married,Tier2,Card,4,M,call,8,5,3,7,6,0
1338,1339,2,Detractor,N,4,9,Married,Tier1,Cash,7,M,call,3,1,3,7,5,0
1339,1340,5,Detractor,N,4,8,Not Married,Tier2,Ziggy Credit,6,F,call,10,1,4,7,5,0
1344,1345,8,Passives,Y,4,6,Married,Tier1,Card,6,M,e-comm,2,1,4,7,6,0
1348,1349,2,Detractor,N,4,5,Married,Tier2,Card,7,M,call,5,3,8,6,5,0
1349,1350,7,Passives,N,4,6,Not Married,Tier3,e-Wallet,3,F,call,6,3,7,9,1,0
1351,1352,7,Passives,N,4,8,Not Married,Tier2,Ziggy Credit,1,F,m-comm,3,2,2,4,2,0
1353,1354,1,Detractor,N,4,2,Not Married,Tier1,e-Wallet,2,F,call,9,6,8,8,6,0
1356,1357,4,Detractor,N,4,2,Married,Tier1,Card,7,M,call,7,5,7,6,4,0
1357,1358,7,Passives,N,4,5,Not Married,Tier2,e-Wallet,2,F,m-comm,7,2,3,8,5,0
1359,1360,4,Detractor,N,4,2,Not Married,Tier1,Ziggy Credit,5,F,call,2,4,1,5,5,0
1361,1362,7,Passives,N,4,10,Not Married,Tier3,e-Wallet,1,F,call,6,5,9,10,2,0
1362,1363,1,Detractor,N,4,5,Married,Tier1,Cash,6,M,call,3,1,5,3,5,0
1365,1366,6,Detractor,N,4,7,Not Married,Tier1,e-Wallet,6,F,call,7,3,1,10,4,0
1367,1368,7,Passives,N,4,4,Not Married,Tier3,Ziggy Credit,4,F,call,5,4,4,10,2,0
1368,1369,1,Detractor,N,4,5,Married,Tier1,Card,1,M,call,1,3,6,4,6,0
1372,1373,6,Detractor,N,4,6,Married,Tier2,Card,7,M,call,4,1,4,1,1,0
1383,1384,6,Detractor,N,4,5,Not Married,Tier1,Ziggy Credit,1,F,call,6,2,3,6,4,0
1387,1388,2,Detractor,N,4,2,Not Married,Tier2,Ziggy Credit,7,F,call,8,3,7,1,6,0
1392,1393,3,Detractor,N,4,4,Married,Tier1,Card,2,M,call,5,4,6,6,1,0
1393,1394,1,Detractor,N,4,8,Not Married,Tier2,e-Wallet,2,F,call,1,4,6,6,5,0
1397,1398,7,Passives,N,4,6,Not Married,Tier3,e-Wallet,1,F,call,4,3,3,6,2,0
1398,1399,2,Detractor,N,4,3,Married,Tier1,Cash,6,M,call,5,3,6,8,2,0
1405,1406,1,Detractor,N,4,4,Not Married,Tier2,e-Wallet,2,F,call,5,2,3,5,4,0
1406,1407,7,Passives,N,4,8,Married,Tier3,Cash,4,M,call,6,1,5,9,8,0
1414,1415,0,Detractor,N,4,4,Married,Tier2,Cash,3,M,call,4,2,2,4,6,0
1417,1418,5,Detractor,N,4,8,Not Married,Tier2,e-Wallet,7,F,call,5,2,7,3,4,0
1420,1421,6,Detractor,N,4,9,Married,Tier2,Card,6,M,call,3,1,4,4,5,0
1422,1423,7,Passives,Y,4,3,Married,Tier1,Cash,3,M,e-comm,4,4,1,5,5,0
1425,1426,1,Detractor,N,4,5,Not Married,Tier1,e-Wallet,7,F,call,6,1,10,7,6,0
1438,1439,4,Detractor,N,4,6,Married,Tier2,Cash,5,M,call,8,5,4,3,3,0
1439,1440,8,Passives,N,4,2,Not Married,Tier3,Ziggy Credit,4,F,call,7,1,5,2,5,0
1440,1441,6,Detractor,N,4,10,Married,Tier1,Card,5,M,call,8,2,4,2,6,0
1442,1443,7,Passives,Y,4,3,Married,Tier3,Cash,1,M,call,4,4,8,2,4,0
1443,1444,3,Detractor,N,4,9,Not Married,Tier1,Ziggy Credit,3,F,call,8,2,9,9,1,0
1444,1445,0,Detractor,N,4,6,Married,Tier2,Card,4,M,call,10,2,8,10,6,0
1445,1446,7,Passives,N,4,1,Not Married,Tier3,e-Wallet,1,F,call,4,1,7,9,10,0
1449,1450,6,Detractor,N,4,1,Not Married,Tier1,e-Wallet,4,F,call,8,5,4,5,3,0
1456,1457,4,Detractor,N,4,5,Married,Tier2,Card,5,M,call,10,5,4,6,5,0
1460,1461,7,Passives,N,4,4,Married,Tier3,Card,6,M,call,6,4,2,9,4,0
1461,1462,7,Passives,N,4,10,Not Married,Tier1,e-Wallet,5,F,e-comm,4,3,9,8,1,0
1467,1468,0,Detractor,N,4,7,Not Married,Tier1,Ziggy Credit,1,F,call,7,2,8,9,4,0
1472,1473,7,Passives,N,4,1,Married,Tier3,Card,4,M,call,5,3,5,7,2,0
1476,1477,7,Passives,Y,4,2,Married,Tier1,Card,4,M,e-comm,5,1,4,2,3,0
1478,1479,8,Passives,Y,4,4,Married,Tier3,Cash,2,M,call,4,4,2,3,5,0
1479,1480,3,Detractor,N,4,6,Not Married,Tier1,Ziggy Credit,7,F,call,8,2,8,7,3,0
1480,1481,2,Detractor,N,4,2,Married,Tier2,Card,3,M,call,8,1,10,2,4,0
1482,1483,8,Passives,Y,4,4,Married,Tier1,Cash,7,M,e-comm,10,4,1,5,3,0
1485,1486,4,Detractor,N,4,5,Not Married,Tier1,e-Wallet,5,F,call,6,3,4,9,6,0
1486,1487,1,Detractor,N,4,1,Married,Tier2,Cash,2,M,call,7,2,10,5,4,0
1489,1490,6,Detractor,N,4,3,Not Married,Tier2,e-Wallet,1,F,call,6,1,6,4,4,0
1492,1493,2,Detractor,N,4,2,Married,Tier2,Card,5,M,call,4,1,2,5,5,0
1493,1494,7,Passives,N,4,1,Not Married,Tier3,e-Wallet,1,F,call,7,4,3,6,3,0
1494,1495,1,Detractor,N,4,5,Married,Tier1,Cash,3,M,call,3,4,10,2,4,0
1496,1497,7,Passives,Y,4,1,Married,Tier3,Card,7,M,call,6,5,5,1,1,0
1499,1500,7,Passives,N,4,7,Not Married,Tier3,Ziggy Credit,5,F,call,5,1,4,4,5,0
1500,1501,1,Detractor,N,4,3,Married,Tier1,Card,7,M,call,10,4,4,7,6,0
1501,1502,3,Detractor,N,4,1,Not Married,Tier2,e-Wallet,3,F,call,1,1,7,1,5,0
1506,1507,3,Detractor,N,4,1,Married,Tier1,Cash,6,M,call,6,5,3,1,6,0
1507,1508,5,Detractor,N,4,6,Not Married,Tier2,Ziggy Credit,1,F,call,5,5,6,4,3,0
1510,1511,4,Detractor,N,4,7,Married,Tier2,Cash,5,M,call,9,5,10,1,3,0
1512,1513,3,Detractor,N,4,8,Married,Tier1,Card,5,M,call,3,3,10,2,1,0
1513,1514,4,Detractor,N,4,4,Not Married,Tier2,e-Wallet,7,F,call,4,4,9,4,1,0
1515,1516,0,Detractor,N,4,9,Not Married,Tier1,Ziggy Credit,4,F,call,2,1,1,1,3,0
1524,1525,5,Detractor,N,4,2,Married,Tier1,Card,3,M,call,5,3,6,8,1,0
1525,1526,2,Detractor,N,4,10,Not Married,Tier2,e-Wallet,6,F,call,3,1,6,1,5,0
1526,1527,7,Passives,N,4,2,Married,Tier3,Cash,7,M,call,6,1,8,6,5,0
1527,1528,7,Passives,N,4,8,Not Married,Tier1,Ziggy Credit,6,F,e-comm,6,3,2,10,3,0
1539,1540,4,Detractor,N,4,7,Not Married,Tier1,Ziggy Credit,5,F,call,1,4,3,6,2,0
1540,1541,1,Detractor,N,4,6,Married,Tier2,Card,7,M,call,4,2,2,1,3,0
1541,1542,7,Passives,N,4,1,Not Married,Tier3,e-Wallet,3,F,call,4,1,4,4,3,0
1544,1545,7,Passives,N,4,8,Married,Tier3,Card,6,M,call,6,4,3,2,3,0
1548,1549,2,Detractor,N,4,7,Married,Tier1,Card,4,M,call,9,1,9,5,2,0
1551,1552,1,Detractor,N,4,9,Not Married,Tier1,Ziggy Credit,7,F,call,1,4,7,5,5,0
1552,1553,0,Detractor,N,4,6,Married,Tier2,Card,2,M,call,9,4,3,1,1,0
1558,1559,1,Detractor,N,4,4,Married,Tier2,Cash,4,M,call,9,1,1,2,2,0
1566,1567,4,Detractor,N,4,9,Married,Tier1,Cash,6,M,call,10,5,9,7,1,0
1572,1573,1,Detractor,N,4,7,Married,Tier1,Card,4,M,call,2,3,3,9,2,0
1575,1576,4,Detractor,N,4,6,Not Married,Tier1,Ziggy Credit,6,F,call,10,1,1,2,2,0
1578,1579,1,Detractor,N,4,9,Married,Tier1,Cash,7,M,call,3,4,3,2,4,0
1579,1580,3,Detractor,N,4,9,Not Married,Tier2,Ziggy Credit,3,F,call,10,5,9,6,4,0
1580,1581,7,Passives,N,4,1,Married,Tier3,Card,7,M,call,8,2,5,10,5,0
1586,1587,7,Passives,N,4,7,Married,Tier3,Cash,2,M,call,4,3,5,1,1,0
1591,1592,0,Detractor,N,4,5,Not Married,Tier2,Ziggy Credit,3,F,call,1,4,1,1,4,0
1593,1594,2,Detractor,N,4,6,Not Married,Tier1,e-Wallet,4,F,call,4,2,9,4,4,0
1594,1595,4,Detractor,N,4,1,Married,Tier2,Cash,7,M,call,6,5,7,8,1,0
1596,1597,0,Detractor,N,4,8,Married,Tier1,Card,3,M,call,6,3,1,7,5,0
1597,1598,4,Detractor,N,4,1,Not Married,Tier2,e-Wallet,3,F,call,6,4,6,1,6,0
1598,1599,7,Passives,N,4,1,Married,Tier3,Cash,2,M,call,6,1,5,3,6,0
1600,1601,0,Detractor,N,4,5,Married,Tier2,Card,5,M,call,8,1,1,5,5,0
1603,1604,5,Detractor,N,4,8,Not Married,Tier2,Ziggy Credit,5,F,call,2,2,7,10,1,0
1606,1607,2,Detractor,N,4,7,Married,Tier2,Cash,6,M,call,2,5,6,6,5,0
1608,1609,5,Detractor,N,4,2,Married,Tier1,Card,5,M,call,3,2,3,2,6,0
1614,1615,5,Detractor,N,4,6,Married,Tier1,Cash,3,M,call,5,1,6,2,4,0
1615,1616,1,Detractor,N,4,3,Not Married,Tier2,Ziggy Credit,2,F,call,8,1,6,10,1,0
